id,stop,station,location,include,prefer,shape
30239,Addison (O'Hare-bound),Addison (Blue Line),"(41.94738, -87.71906)",FALSE,FALSE,
30229,Argyle (Howard-bound),Argyle (Red Line),"(41.973453, -87.65853)",FALSE,FALSE,
30230,Argyle (95th-bound),Argyle (Red Line),"(41.973453, -87.65853)",FALSE,FALSE,
30128,Armitage (Loop-bound),Armitage (Brown & Purple Lines),"(41.918217, -87.652644)",FALSE,FALSE,
30127,Armitage (Kimball-Linden-bound),Armitage (Brown & Purple Lines),"(41.918217, -87.652644)",FALSE,FALSE,
30205,Ashland (Loop-bound),Ashland (Orange Line),"(41.839234, -87.665317)",FALSE,FALSE,
30033,Ashland (Loop-63rd-bound),Ashland (Green & Pink Lines),"(41.885269, -87.666969)",FALSE,FALSE,
30032,Ashland (Harlem-54th/Cermak-bound),Ashland (Green & Pink Lines),"(41.885269, -87.666969)",FALSE,FALSE,
30206,Ashland (Midway-bound),Ashland (Orange Line),"(41.839234, -87.665317)",FALSE,FALSE,
30057,Ashland/63rd (Terminal arrival),Ashland/63rd (Green Line),"(41.77886, -87.663766)",FALSE,FALSE,
30056,Ashland/63rd (Harlem-bound),Ashland/63rd (Green Line),"(41.77886, -87.663766)",FALSE,FALSE,
30001,Austin (O'Hare-bound),Austin (Blue Line),"(41.870851, -87.776812)",FALSE,FALSE,
30002,Austin (Forest Pk-bound),Austin (Blue Line),"(41.870851, -87.776812)",FALSE,FALSE,
30243,Austin (63rd-bound),Austin (Green Line),"(41.887293, -87.774135)",FALSE,FALSE,
30244,Austin (Harlem-bound),Austin (Green Line),"(41.887293, -87.774135)",FALSE,FALSE,
30258,Belmont (Loop-bound),"Belmont (Red, Brown & Purple Lines)","(41.939751, -87.65338)",FALSE,FALSE,
30013,Belmont (O'Hare Branch) (Forest Pk-bound),Belmont (Blue Line),"(41.938132, -87.712359)",FALSE,FALSE,
30012,Belmont (O'Hare Branch) (O'Hare-bound),Belmont (Blue Line),"(41.938132, -87.712359)",FALSE,FALSE,
30256,Belmont (95th-bound),"Belmont (Red, Brown & Purple Lines)","(41.939751, -87.65338)",FALSE,FALSE,
30255,Belmont (Howard-bound),"Belmont (Red, Brown & Purple Lines)","(41.939751, -87.65338)",FALSE,FALSE,
30257,Belmont (Kimball-Linden-bound),"Belmont (Red, Brown & Purple Lines)","(41.939751, -87.65338)",FALSE,FALSE,
30067,Berwyn (95th-bound),Berwyn (Red Line),"(41.977984, -87.658668)",FALSE,FALSE,
30066,Berwyn (Howard-bound),Berwyn (Red Line),"(41.977984, -87.658668)",FALSE,FALSE,
30267,Bryn Mawr (Howard-bound),Bryn Mawr (Red Line),"(41.983504, -87.65884)",TRUE,FALSE,square
30268,Bryn Mawr (95th-bound),Bryn Mawr (Red Line),"(41.983504, -87.65884)",FALSE,FALSE,
30086,California (Loop-bound),California (Pink Line),"(41.854109, -87.694774)",FALSE,FALSE,
30087,California (54th/Cermak-bound),California (Pink Line),"(41.854109, -87.694774)",FALSE,FALSE,
30111,California (O'Hare-bound),California (Blue Line),"(41.921939, -87.69689)",FALSE,FALSE,
30112,California (Forest Pk-bound),California  (Blue Line),"(41.921939, -87.69689)",FALSE,FALSE,
30266,California (Harlem-bound),California (Green Line),"(41.88422, -87.696234)",FALSE,FALSE,
30265,California (63rd-bound),California (Green Line),"(41.88422, -87.696234)",FALSE,FALSE,
30242,Central (Howard-Loop-bound),Central (Purple Line),"(42.063987, -87.685617)",FALSE,FALSE,
30241,Central (Linden-bound),Central (Purple Line),"(42.063987, -87.685617)",FALSE,FALSE,
30055,Central (Harlem-bound),Central (Green Line),"(41.887389, -87.76565)",FALSE,FALSE,
30054,Central (63rd-bound),Central (Green Line),"(41.887389, -87.76565)",FALSE,FALSE,
30151,Central Park (Loop-bound),Central Park (Pink Line),"(41.853839, -87.714842)",FALSE,FALSE,
30152,Central Park (54th/Cermak-bound),Central Park (Pink Line),"(41.853839, -87.714842)",FALSE,FALSE,
30194,Cermak-Chinatown (95th-bound),Cermak-Chinatown (Red Line),"(41.853206, -87.630968)",FALSE,FALSE,
30193,Cermak-Chinatown (Howard-bound),Cermak-Chinatown (Red Line),"(41.853206, -87.630968)",FALSE,FALSE,
30382,Cermak-McCormick Place (63rd-bound),Cermak-McCormick Place (Green Line),"(41.853115, -87.626402)",FALSE,FALSE,
30381,Cermak-McCormick Place (Harlem-bound),Cermak-McCormick Place (Green Line),"(41.853115, -87.626402)",FALSE,FALSE,
30138,Chicago (Loop-bound),Chicago (Brown & Purple Lines),"(41.89681, -87.635924)",FALSE,FALSE,
30271,Chicago (O'Hare-bound),Chicago (Blue Line),"(41.896075, -87.655214)",FALSE,FALSE,
30272,Chicago (Forest Pk-bound),Chicago (Blue Line),"(41.896075, -87.655214)",FALSE,FALSE,
30279,Chicago (Howard-bound),Chicago (Red Line),"(41.896671, -87.628176)",FALSE,FALSE,
30280,Chicago (95th-bound),Chicago (Red Line),"(41.896671, -87.628176)",FALSE,FALSE,
30137,Chicago (Kimball-Linden-bound),Chicago (Brown & Purple Lines),"(41.89681, -87.635924)",FALSE,FALSE,
30187,Cicero (O'Hare-bound),Cicero (Blue Line),"(41.871574, -87.745154)",FALSE,FALSE,
30083,Cicero (54th/Cermak-bound),Cicero (Pink Line),"(41.85182, -87.745336)",FALSE,FALSE,
30082,Cicero (Loop-bound),Cicero (Pink Line),"(41.85182, -87.745336)",FALSE,FALSE,
30188,Cicero (Forest Pk-bound),Cicero (Blue Line),"(41.871574, -87.745154)",FALSE,FALSE,
30009,Cicero (Harlem-bound),Cicero (Green Line),"(41.886519, -87.744698)",FALSE,FALSE,
30094,Cicero (63rd-bound),Cicero (Green Line),"(41.886519, -87.744698)",FALSE,FALSE,
30122,Clark/Division (95th-bound),Clark/Division (Red Line),"(41.90392, -87.631412)",FALSE,FALSE,
30121,Clark/Division (Howard-bound),Clark/Division (Red Line),"(41.90392, -87.631412)",FALSE,FALSE,
30074,Clark/Lake (Inner Loop),"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)","(41.885737, -87.630886)",FALSE,FALSE,
30075,Clark/Lake (Outer Loop),"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)","(41.885737, -87.630886)",FALSE,FALSE,
30374,Clark/Lake (Forest Pk-bound),"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)","(41.885737, -87.630886)",FALSE,FALSE,
30375,Clark/Lake (O'Hare-bound),"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)","(41.885737, -87.630886)",FALSE,FALSE,
